course_id,course_title,is_paid,level,subject,url,content_duration_hr,num_lectures,price,reviews,students,published_datetime
1070968,Ultimate Investment Banking Course,Paid,All Levels,Business Finance,https://www.udemy.com/ultimate-investment-banking-course/,0.045138889,51,200,23,2147,2017-01-18 12:58:58
1113822,Complete GST Course & Certification - Grow Your CA Practice,Paid,All Levels,Business Finance,https://www.udemy.com/goods-and-services-tax/,39.0,274,75,923,2792,2017-09-03 08:34:20
1006314,Financial Modeling for Business Analysts and Consultants,Paid,Intermediate Level,Business Finance,https://www.udemy.com/financial-modeling-for-business-analysts-and-consultants/,2.5,51,45,74,2174,2016-12-19 11:26:30
1210588,Beginner to Pro - Financial Analysis in Excel 2017,Paid,All Levels,Business Finance,https://www.udemy.com/complete-excel-finance-course-from-beginner-to-pro/,3.0,36,95,11,2451,2017-05-30 01:07:24
1011058,How To Maximize Your Profits Trading Options,Paid,Intermediate Level,Business Finance,https://www.udemy.com/how-to-maximize-your-profits-trading-options/,2.0,26,200,45,1276,2016-12-13 06:57:18
192870,Trading Penny Stocks: A Guide for All Levels In 2017,Paid,All Levels,Business Finance,https://www.udemy.com/trading-penny-stocks-a-guide-for-all-levels/,3.0,25,150,138,9221,2014-02-05 08:13:30
739964,Investing And Trading For Beginners: Mastering Price Charts,Paid,Beginner Level,Business Finance,https://www.udemy.com/investing-and-trading-for-beginners-mastering-price-charts/,1.0,26,65,178,1540,2016-02-21 10:23:12
403100,"Trading Stock Chart Patterns For Immediate, Explosive Gains",Paid,All Levels,Business Finance,https://www.udemy.com/trading-chart-patterns-for-immediate-explosive-gains/,2.5,23,95,148,2917,2015-01-30 02:13:03
476268,Options Trading 3 : Advanced Stock Profit and Success Method,Paid,Expert Level,Business Finance,https://www.udemy.com/day-trading-stock-options-3/,2.5,38,195,34,5172,2015-05-27 05:14:03
1167710,The Only Investment Strategy You Need For Your Retirement,Paid,All Levels,Business Finance,https://www.udemy.com/the-only-investment-strategy-you-need-for-your-retirement/,1.0,15,200,14,827,2017-04-18 11:13:32
592338,Forex Trading Secrets of the Pros With Amazon's AWS,Paid,All Levels,Business Finance,https://www.udemy.com/trading-with-amazons-aws-servers-trade-secrets-of-the-pros/,5.0,76,200,93,4284,2015-11-09 09:47:02
975046,Trading Options With Money Flow,Paid,All Levels,Business Finance,https://www.udemy.com/trading-options-using-money-flow/,1.0,17,200,42,1380,2016-10-18 03:52:31
742602,Financial Management Risk and Return For Securities,Paid,All Levels,Business Finance,https://www.udemy.com/risk-and-return-finance/,1.5,19,30,21,3607,2016-03-02 10:04:01
794151,Forex Trading Course: Work Smarter Not Harder Proven Results,Paid,All Levels,Business Finance,https://www.udemy.com/the-complete-trading-course/,2.0,16,195,52,4061,2016-03-16 08:40:19
1196544,Python Algo Trading: Sentiment Trading with News,Paid,All Levels,Business Finance,https://www.udemy.com/hedge-fund-strategy-trading-with-sentiment-analysis/,7.0,42,200,19,294,2017-04-28 09:41:44
